YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1863,,,,,,,,,,,,14.9,
1864,16.7,16.4,13.7,13.8,9.6,6.6,6.3,6,10.2,11.8,13.5,16.2,11.7
1865,17.4,17.8,15.5,12.3,8.6,6.5,5.4,6.6,9.5,10.2,13.7,15.1,11.5
1866,16.3,15.8,13.1,11.4,8.8,7,5.9,7.6,10.5,13.1,15.2,15.5,11.7
1867,17.1,17.9,14.9,12.7,9.2,6.7,7.7,7.2,9.6,12.4,13.9,16.6,12.1
1868,15.8,15.3,14.6,12.6,8.8,4.9,5.3,5.5,9.1,11.5,14.4,15.8,11.1
1869,16.5,16.3,14.5,12.3,8,6.3,5,7.6,10.1,11.8,13.3,16.7,11.5
1870,17.6,17.5,13.3,10.5,8.2,7.8,5.4,6.2,9.1,12.8,15.5,13.7,11.5
1871,17.3,14.8,14.8,11.2,8.3,5.2,6.1,7.6,8.4,11.6,12.8,15.9,11.2
1872,18.5,16.6,14.2,12.5,9.5,6.2,6.4,6.1,9.8,11.4,14.6,18.9,12
1873,16.2,15.2,14.8,10.9,10.1,7.4,5.7,7.8,8.6,12.6,13.4,17.3,11.7
1874,18.1,16.2,14.9,11.6,7.8,5.1,5.3,7.4,8.1,11.1,14.1,15.8,11.3
1875,17.3,16.2,14.7,12.8,8.8,6,6.1,6.3,8.8,11.2,11.6,,
1876,16.7,17.2,15.4,12.4,9.6,6.6,5.2,7.2,9,13,14.3,15.6,11.8
1877,17,15.9,14.1,10.5,7.5,7,5.1,7.6,9.2,11.9,14.1,16.1,11.3
1878,14.2,14.2,14.4,13.7,8,6.3,6.1,6.3,11.5,12.1,14.7,17.9,11.6
1879,16.5,15.2,15.7,11.1,10.6,5.7,4.9,6.5,10.5,11.4,12.3,15.4,11.3
1880,17.2,17.1,14.7,13.3,10.3,6.3,6.6,7.5,10.7,11.5,15.4,15.4,12.2
1884,,,,10.2,7.7,6.2,5.8,7,8.6,,,,
1905,13.8,15.1,14.3,10.7,8.2,5.6,5.6,6.2,8,10.3,12.4,,
1906,14.3,13.2,12.7,,8.5,6.5,6.1,7,8.9,11.9,12,15.3,
1907,17,16.8,16.3,12.7,8.8,5.6,5.5,6.5,8.9,10.5,14,17.5,11.7
1908,16.9,15.8,14.9,11.5,9.3,7.5,4.4,5.8,9.9,10.6,13.6,13.9,11.2
1909,14.8,15.6,15.2,11.1,9.6,7.2,6.2,7.8,9.2,11.6,13.4,16.9,11.6
1910,16.3,17.6,14.6,11,9.6,6.7,5.5,7.7,9.8,13.2,14.8,15.5,11.9
1911,16,14.9,15.6,14.1,8.8,7.1,4.9,7.2,9.3,11.2,12.7,13.3,11.3
1912,14.8,13.4,12.4,11.2,7.6,5.7,5.5,6.3,9.7,11.3,12.4,15.7,10.5
1913,16.9,15.4,14.7,10.2,6.2,5.1,6.4,6.5,10.7,12,12.9,13.9,10.9
1914,18.1,16.3,14.6,12.5,7.3,5.8,5.6,6.4,9,12,13,14,11.2
1915,16.2,15,12.5,10.9,9.5,6.1,7.4,7.5,11,12.9,13.2,16,11.5
1916,16.2,17.8,16.4,12.5,9.4,8.8,7,7.1,10.1,11.3,15,17.9,12.5
1917,17.7,15.9,15.5,13.4,10.3,6.9,7.8,6.9,11.1,12.4,14.4,14.6,12.2
1918,16,17.3,14.5,11.9,8.9,6.8,4.4,7,9.6,11.9,12.6,13.9,11.2
1919,15.4,16,14.7,11.3,8.6,6.6,7.1,8.1,7.9,12.1,12,14.4,11.2
1920,14.9,15.8,14.7,12.7,7.5,7.3,7,5.7,8.2,12.4,13.1,15.7,11.3
1921,15.3,15.4,14.1,10.8,9.9,7.2,7.1,7.4,9.8,11.7,13.8,15.2,11.5
1922,15.8,16.4,13.4,11.5,8.4,5.2,5.2,7,8.8,13.3,13.3,15,11.1
1923,16.2,14.9,13.6,9.8,8.5,5.7,5.1,6.2,9.8,11.2,16,17.6,11.2
1924,17.4,17.2,15,14.2,9,6.8,5.6,7.3,10.6,12.6,14.4,14.7,12.1
1925,16.3,15.5,13.4,11.7,7.4,4.9,6.5,6.8,8.2,12,12.4,15.7,10.9
1926,16.2,14.7,13.8,13.2,8.9,5.9,6.2,7.2,9.5,11.5,12.7,14.2,11.2
1927,16.6,16.9,14.5,10.9,8.3,4.7,5.6,6.2,9.2,12,11.9,14.1,10.9
1928,16.3,16.9,15.6,13.6,8.6,6.9,7.6,7.2,9.5,12.4,12.9,14.5,11.8
1929,16.3,16.1,14.2,11.5,7.5,7.2,5.6,6.1,8.4,11.8,13.1,14.7,11
1930,14.7,15.4,13.9,11.5,8.3,5.2,4.3,6.4,7.6,9.9,11.9,14.6,10.3
1931,15.9,14.6,13.8,11.2,8.9,5.1,5,6.4,7.1,12.4,14.2,15.7,10.9
1932,16,15.4,14,11.9,7.8,5.7,4.4,5.4,8.8,11.4,14.3,14.5,10.8
1933,16.7,17.2,15.6,12.1,8.1,4.9,5.7,6.9,9.5,12.2,12.5,15.7,11.4
