YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1934,15.2,15.7,13.7,12.5,8.1,6.2,4.7,7,9.8,11.2,14.9,17.9,11.4
1935,18.6,17.5,15.7,12.7,8.4,5.4,5.2,7.1,7.4,11.9,11.1,17.6,11.6
1936,16.5,14.9,12.3,12.7,7.6,6.4,5.3,8.1,9.2,12.9,13.5,13.4,11.1
1937,15.4,13.8,14.1,10.9,8.8,5,5.1,7.9,9.4,10.8,13.6,15.6,10.9
1938,16.8,18.5,16.2,14,8.9,6.3,4,6.9,9.3,12.1,13.6,14.5,11.7
1939,15.1,15.8,15,12.2,9.5,7.2,4.1,5.9,8.7,10.6,13.8,16.5,11.2
1940,17.5,15.5,13.5,10.1,7.6,5.8,5.9,7.5,9.3,12.1,12.6,16.6,11.2
1941,17.5,17,14.9,10.4,8.8,4.8,5.2,5.9,9.4,10.9,13.5,14.3,11
1942,15.7,15.5,14,12.1,9.7,7,6.1,7.1,10.1,12.4,13.9,14,11.5
1943,16.3,16.3,13.9,12,7.3,6.7,4.9,5.5,8.3,10.5,13.8,16.1,11
1944,16.9,16.2,14.2,12.9,7.7,6.1,5.8,6,8.8,11.9,13.8,13.9,11.2
1945,16.4,16.3,14.1,12,8,5.1,3.9,8.1,9.6,9.9,15.3,13.4,11
1946,15.9,16.6,14.9,11.7,9.1,6.1,6.6,7.5,9.4,10.6,10.4,14,11.1
1947,15.2,15.2,14.7,11.2,8.9,6.3,5.7,7.9,10,11.4,14.4,16.2,11.4
1948,17.8,15.9,15.3,12,9.4,5.9,6.9,7.5,10.1,11.7,13.3,15.8,11.8
1949,14.9,18.4,14.5,10.8,8.5,6.2,7.3,6.4,9.2,14,13.3,15.2,11.6
1950,17,15.9,14.3,11,10.6,5.7,6.2,6,9.8,12.2,14.4,15,11.5
1951,15,15.7,14.6,12.3,8.1,4.5,6.3,6.2,9.9,11.6,13.8,13.6,11
1952,15.4,16.8,14.1,12.5,8.9,6.2,5.2,7.8,10.7,12.2,12.9,16,11.6
1953,15.2,15.6,14.5,11.5,9.4,6.6,5.8,7.6,9.8,10.9,15.3,15.4,11.5
1954,16.4,18.5,15.6,11.4,9.6,7.9,5.1,7,9.2,12.2,15.6,16.1,12.1
1955,17.5,18,15.4,13.7,10.4,6.4,5.3,8.1,10.5,12.9,14.4,16.6,12.4
1956,19.6,16.7,14.1,14.8,8.9,7.6,6,6.9,10,12.2,14.1,15.9,12.2
1957,17.7,18.3,16.4,13.2,9.7,6.9,6.1,8.2,9.6,11.6,13.8,15.1,12.2
1958,15.6,17.5,16.1,11.5,9.7,6.4,5.1,7.9,9,12.9,15.3,16.8,12
1959,17.4,17.1,15.1,12.9,6.4,5.4,5.8,7.3,10.5,10.1,14.9,15.7,11.6
1960,17.3,15.9,14,12.4,9.8,7,6.9,6.9,9.7,12.7,13.7,14.1,11.7
1961,16,17.1,13.6,12.4,8.4,6,6.3,7,8.6,14.9,14.7,17.2,11.9
1962,18.7,16.1,15.6,11.9,11.9,7.7,7.3,7.6,9.9,13.8,14.3,16.1,12.6
1963,17.9,17.7,14.3,11.1,9.6,5.8,5.9,6.2,9.5,12.7,12.8,14.9,11.5
1964,16.3,16.8,15.6,12.1,9,6.2,6.9,7.4,9.6,12.2,13.5,16.8,11.9
1965,18.4,15.8,14.5,12.3,8.6,6.7,5,7.2,10,10.9,13.4,16,11.5
1966,16.8,18.3,15.9,12.7,7.9,6.8,5.5,6.9,9.7,12.1,13.3,15.5,11.8
1967,16.7,17.1,15.8,13.1,9.5,5.9,6,8.8,8.7,12.8,12.8,15.9,11.9
1968,17.2,17.2,17.6,11.7,10.4,6.6,5,8.1,9,11.7,14.3,14.6,11.9
1969,17,16.4,15.8,11.9,9.5,5.1,5.6,7.6,12,10.6,14.9,17.5,12
1970,18.1,16.5,15.7,13.4,8.3,7.4,7.1,8.5,10.6,12.3,14.4,16.7,12.4
1971,17.4,18,16.3,12.9,10.5,7.9,6,8.3,10.2,12.4,13.9,16.9,12.6
1972,16,15.6,16.9,13.1,8.6,5.2,6.5,6.2,11.6,12.6,15.6,14.5,11.9
1973,17.1,18.3,16,12.7,9.6,7,6,7.2,10.7,12.8,15.1,16.1,12.4
1974,16,18,14.1,12.3,9.1,6.8,7.2,6.7,10.3,11.4,14.6,17.2,12
1975,18.6,17,16.5,13.8,9.9,6.3,5.6,8.1,10.4,11.8,13.1,14.9,12.2
1976,15.9,14,15.7,12.3,9,6,5.9,7.2,8.6,10,11.5,15.3,10.9
1977,15.4,16.6,14.9,12.1,7.9,6.4,6.5,7.3,7.4,11.6,13.3,15.3,11.2
1978,17.7,18.1,16.7,15.1,9.9,5.6,7.1,8.5,9.8,11.8,14.3,15.9,12.5
1979,18,17.5,15,12.4,8.8,7.2,7,6.6,10.5,11.8,14.8,16.7,12.2
1980,17.2,16.4,14.4,12.5,9.7,6.2,6.2,7.8,,14.2,13,15.9,
1981,17.9,17.7,16.1,14.2,9.1,8,6.7,6.1,9.8,12.4,14.4,17.7,12.5
1982,17.8,18,16.2,10.9,9.7,6.4,5.7,8.1,9.1,10.9,16.1,14.6,12
1983,16.3,15.5,15.5,12.4,9.2,6.6,5.8,7.8,9.7,12.1,14.1,15.4,11.7
1984,15.4,16.5,16.5,13.2,,7.7,7.5,9.5,10.4,12.5,15.7,16.8,
1985,19.4,17.4,15.1,13.9,9.7,8,7.3,7.9,10.6,11.1,13.9,16.3,12.6
1986,19,17.3,15.5,14.4,9.5,7,5.7,6.1,9.1,12.4,13.9,16.2,12.2
1987,18.5,16.3,14.4,13.1,11.1,7.6,6.7,9.2,10.3,12.4,14.3,16,12.5
1988,17.8,17,14.6,11.4,8.1,7.2,7.9,8.3,11.9,14.5,15.5,18,12.7
1989,18.7,17.1,16.4,12.8,9.4,7.5,5.7,8.6,10.5,13.3,14.9,16.1,12.6
1990,18.3,18.9,16.1,13.4,10.6,7.5,7,7.7,10,12.5,14.2,17.7,12.8
1991,17.7,16.6,16.2,12.3,10,6.1,6.1,9.3,10.6,12.5,12.4,14.8,12
1992,17.8,16.2,14.2,10.7,7.6,5.5,6.9,6.7,8,11.3,14.7,14.7,11.2
1993,16.2,15.9,14.2,11.6,9.6,9.1,7.1,7,9.3,13.7,12.5,14.5,11.7
1994,18,17.4,14.3,13.1,9.6,5.8,6.5,8.5,9,11.1,14.8,16.4,12
1995,16.9,17.3,16.1,13.4,10.3,6.7,5.3,8,9.8,11.4,13.4,17.6,12.2
1996,17.6,17.2,14,12.8,9.2,6.4,5.9,6.7,11.2,12.7,13.3,15.5,11.9
1997,15.4,17.2,13.8,11.6,10.6,6.9,6.1,7.9,9.2,12.4,14.9,15.9,11.8
1998,18.5,19.8,17.1,13.4,10.2,7.2,8.3,7.1,10.7,13,13.2,16.4,12.9
1999,18.2,17.8,17.3,12.6,11.4,7.7,6.9,7.6,10.3,13.3,14,14.6,12.6
2000,15.9,16.7,15.2,12.7,10.3,8.3,8.5,7.7,10.7,12.5,11.7,17.6,12.3
2001,15.8,17.8,16,13.5,9.9,7.1,5.4,8.5,11.1,13,14.4,16.8,12.4
2002,17,15.6,16.1,12.2,10.3,7,6.2,8.4,11.9,10.9,13.2,16.2,12.1
2003,16.9,16.7,16.5,11.1,10.5,9,6,7.7,10.2,11.3,13.5,16.9,12.2
2004,18.8,16.3,14.7,11.5,10.9,8.9,6.1,6.8,9.8,11.8,14.4,13.3,11.9
2005,17.7,18.9,15.5,12.1,10.1,6.5,7.8,9.5,10.3,12,14,17.5,12.7
2006,17.4,17.5,13.2,14.4,9.8,5.7,6.7,8.1,11.8,12.1,13.8,13.7,12
2007,16,17,16.5,12.3,12.1,6.3,6.8,7.9,10.3,11.9,14.1,16.4,12.3
2008,18.3,17.3,15.9,12.9,8,7.3,7.1,6.9,10.9,12.3,15,16.2,12.3
2009,18.9,16.4,15.1,13.1,7.6,6.2,6.1,9.6,10.3,10.5,13.2,15,11.8
2010,16.5,17.2,15.9,13.9,10.4,6.9,6.4,8.6,10.9,11.9,15.3,17.9,12.7
2011,17.7,17.8,15.6,11.6,11.4,8.4,6.2,7.2,9.4,11.6,13.6,15.7,12.2
2012,16.6,16.3,14.2,13,9.5,6,7.1,9.5,10.7,11.9,12.3,17.5,12
2013,18.1,16.8,16.8,12.9,9.9,7.2,8.4,10,10.2,13,14.9,16.9,12.9
2014,16.5,17.5,14.5,13.2,10.8,8.8,7,7.6,10,12.1,13.9,16.2,12.4
2015,18.6,17.1,16.1,13.8,10.8,7.3,6.6,7.8,9.2,12.8,14.4,16.1,12.6
2016,16.9,19.5,16.2,13.4,12.2,8.5,7.5,7.2,10.8,12.6,14.4,16,12.9
2017,17.4,17.4,15,13,8.8,7.4,6.7,9.2,11,13,15.3,19,12.8
2018,20.2,17.6,16.5,12.4,10.4,7.9,8.1,9.1,10.9,12.1,14.3,16.6,13
2019,19.8,18.7,17.5,12.7,11.5,7.2,8.4,8.1,10.4,11.6,16.3,16.7,13.2
2020,18.2,18.8,14.7,13.5,10.6,8.3,7.4,9.3,11.1,13.8,14.9,16.6,13.1
2021,18.3,17.9,16.3,13.9,10.6,8.8,7.6,9,10.7,13.2,15.1,,
2022,18.3,17,16.4,13.9,11.5,8.6,7.3,9.3,10.9,12,16.2,17,13.2
2023,18.5,19,15.6,14,12,9.4,7.8,7.5,11.9,12.8,14.4,17.4,13.3
2024,19.3,18,14.6,13.1,8.2,8.9,8,9.1,11.3,13,15.1,17.8,13
2025,16,17.8,16.4,,,,,,,,,,
